COc1cc2ncnc(Nc3cc(Br)c(O)c(Br)c3)c2cc1OC	KIN001-055
C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3	PERHEXILINE
C1C2=CC(=C(C=C2C3C1(COC4=C3C=CC(=C4O)O)O)O)O	HEMATOXYLIN
C1C2=CC(=C(C=C2C3C1(COC4=C3C=CC(=C4O)O)O)O)O	HEMATOXYLIN
CC(C)(C(C(=O)O)N)S	D-Penicillamine
CC(C(=O)NCC(=O)O)S	tiopronin
CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N	Aliskiren
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O	cytarabine
CNCC(C(C(C(CO)O)O)O)O	meglumine
C1C(C(C(OC1O)CO)O)O	2-Deoxy-D-galactopyranose
C(C(C(C(CO)O)O)O)O	Pentitol
C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O	NCGC00142624-04
COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N	aspartame
CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC(=C(C=C4)OC)O)O)CO)O)O)O)O)O	NCGC00091109-03
CC(C)(C)OC(=O)NCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC3=CC=CC=C3)C(=O)N	pentagastrin
C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O	Indole-3-butyric acid
C1=COC(=C1)CNC2=NC=NC3=C2NC=N3	kinetin
C1C(C(C(C=C1C(=O)O)O)O)O	Bracken fern toxic component
CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCO)C)C)C)C)C)C)C)C)C	CHEMBL3186547
COC1=C(C(=CC(=C1)CC=C)C(=O)NCCO)O	Alibendol
CC1(CCCC2(C1CCC3(C2CC(=O)O3)C)C)C	CHEMBL3348941
C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3C2=O)C(=O)O)O	Rhein
C1=C(NC(=O)NC1=O)C(=O)O	Orotic acid
CC1=NC2=C(C=C(C=C2C(=C1)NC(=O)NC3=CC=C(C=C3)N(C)C)F)F	288150-92-5
CC1(C(CCC23C1C(CC4C2(C3)CCC5(C4(CC(C5C6(CCC(O6)C(C)(C)O)C)O)C)C)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(CO8)O)O)O)C	CHEMBL3348892
CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3	ipriflavone
CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)[O-]	CHEBI:93770
CC(C1C(CC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)NC)C)C)O)NC	Cyclovirobuxine D
CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O	propafenone
CN1C(CC2=CC(=NNC(=O)N)C(=O)C=C21)S(=O)(=O)[O-].[Na+]	carbazochrome sodium sulfonate
CC1C=CC=C(C(=O)N=C2C(=C3C(=C4C2=NC5(N4)CCN(CC5)CC(C)C)C6=C(C(=C3O)C)OC(C6=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)O)C	RIFABUTIN
CC1C=CC=C(C(=O)N=C2C(=C3C(=C4C2=NC5(N4)CCN(CC5)CC(C)C)C6=C(C(=C3O)C)OC(C6=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)O)C	RIFABUTIN
CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl	NCGC00016752-02
CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C	CHEMBL3348959
COC(=O)C1=COC(C2C1CC=C2CO)OC3C(C(C(C(O3)CO)O)O)O	Geniposide
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl	Doxorubicin Hydrochloride
CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C	Romidepsin
CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O	proscillaridin
CC1=CC(=O)N(C(=C1)C2CCCCC2)O.C(CO)N	Ciclopirox olamine
CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC	(-)-Ethyl apovincaminate
CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3	tamoxifen
CC#CC1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O	Tocris-1479
CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O.Cl	Flavopiridol hydrochloride
C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O.Cl	RALOXIFENE HYDROCHLORIDE
CN1C(=C(C=N1)Cl)C2=C(OC(=C2)C(=O)NC(CC3=CC(=C(C=C3)F)F)CN)Cl	Uprosertib
CCCC(C(=O)NC1=CN(C=N1)C(C)(C)CNCC(C)(C)C)NC2CCC3=CC(=CC(=C3C2)F)F	Nirogacestat
CC(=O)NCC(=O)N1C2CCC1C3=C2C=CC(=C3)NC4=NC=C(C(=N4)NC5CCC5)C(F)(F)F	PF-03814735
CC(=O)NCC(=O)N1C2CCC1C3=C2C=CC(=C3)NC4=NC=C(C(=N4)NC5CCC5)C(F)(F)F	PF-03814735
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O.Cl	CYTARABINE HYDROCHLORIDE
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)C)O)N)O.Cl	23541-50-6
C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O	CHEMBL17639
C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O	5-Fluoro-2'-deoxyuridine
C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)F	Fludarabine Base
CCCCC(=O)OCC(=O)C1(CC(C2=C(C3=C(C(=C2C1)O)C(=O)C4=C(C3=O)C(=CC=C4)OC)O)OC5CC(C(C(O5)C)O)NC(=O)C(F)(F)F)O	Antibiotic AD 32
CC(C)NC(=O)C1=CC=C(C=C1)CNNC.Cl	Procarbazine hydrochloride
CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O	Tamoxifen citrate
COC1=NC(=NC2=C1N=CN2C3C(C(C(O3)CO)O)O)N	7803-88-5
C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N	Azacytidine, 5-
C1=NC2=C(N1C3C(C(C(O3)CO)O)F)N=C(N=C2N)Cl	CHEMBL277800
C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O	Co-V
CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O	MITHRAMYCIN
CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC	Antibiotic AY 22989
CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O	158798-73-3
C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4	Triethylenemelamine
CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O	bleomycin
CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O	Vincristine sulfate
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1	Vincristine sulfate
CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O.Cl	Bendamustine hydrochloride
CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=C(C5=C4)CN(C)C)O)O.Cl	TOPOTECAN HYDROCHLORIDE
CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC	NSC733504
C1=C(C(=O)NC(=O)N1)N(CCCl)CCCl	Uramustine
C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl.Cl	Melphalan hydrochloride
C(CC(=O)O)C(=O)CN.Cl	5-Aminolevulinic acid hydrochloride
CN(CCCl)CCCl.Cl	55-86-7
C(CN)CNCCSP(=O)(O)O	amifostine
C1CN(CCN1C(=O)CCBr)C(=O)CCBr	pipobroman
CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O	Vepesid J
C1C(C(OC1N2C=NC(=NC2=O)N)CO)O	NSC-127716
CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl	Quinacrine hydrochloride
CN(C(=O)NC(C=O)C(C(C(CO)O)O)O)N=O	Zanosar
CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C	MEGESTROL ACETATE
CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C	EXEMESTANE
CC12CCC3C(C1CCC2OP(=O)(O)O)CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl.[Na+]	Emcyt (Pharmacia)
CC1CCCC2(C(O2)CC(NC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C	Ixabepilone
N.N.Cl[Pt+2]Cl	cis-Platin
[O-2].[O-2].[O-2].[As+3].[As+3]	Trisenox
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O	NSC256439
CC1CC2CCC3C(=C)CC(O3)CCC45CC6C(O4)C7C(O6)C(O5)C8C(O7)CCC(O8)CC(=O)CC9C(CC(C1=C)O2)OC(C9OC)CC(CN)O.CS(=O)(=O)O	NSC707389
CCC(C1=CC(=NC2=C1C(=C(S2)C(=O)N)N)N3CCC(CC3)S(=O)(=O)C)(F)F	BI605906
CCC1=CC=C(C=C1)C=C2C(=O)NC(=S)S2	10058-F4
CC1CCC(CN1C2=NC(=NC(=C2)C3=CC4=C(C=C3)C(=NN4)N)NC)C(=O)NC5CCCCC5	GSK2334470
CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)NC(=O)C=CCN(C)C)NC3=NC=CC(=N3)C4=CN=CC=C4	JNK-IN-8
CN1C2=NC(=O)N(C(=O)C2=NC=N1)C	Toxoflavin
CC(C)(C)C(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C(=O)C2=O	SF1670
C1=CC(=CC2=C1C=CS2(=O)=O)[N+](=O)[O-]	Stattic
CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3	(-)-huperzine A
CC12C3=CC=CC=C3CC(N1)C4=CC=CC=C24.C(=CC(=O)O)C(=O)O	(-)-MK 801 Maleate
CN1CCC2=CC3=C(C=C2C1C4C5=C(C6=C(C=C5)OCO6)C(=O)O4)OCO3	(+)-Bicuculline
C1=CC(=CC=C1C(CN)O)O.Cl	Octopamine hydrochloride
CCCCCCCCCCCCCCCCO	1-Hexadecanol
CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1O)O)OC(=O)C5=CC=CC=C5)(CO4)OC(=O)C)O)C)O	32981-86-5
CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCCN(C)C)C)OC)OC(=O)N)C)C)O)OC.Cl	17-DMAG (Alvespimycin) HCl
CC12CCC3C(C1CCC2O)CCC4=CC(=C(C=C34)OC)O	2-Methoxyestradiol
C1=CNC(=S)NC1=O	2-thiouracil
CC12CCC3C(=CC(=O)C4C3(CC(C(C4)O)O)C)C1(CCC2C(C)(C(CCC(C)(C)O)O)O)O	20-HYDROXYECDYSONE
C1=CN=C(C2=C1N(C=N2)C3C=C(C(C3O)O)CO)N	3-Deazaneplanocin
C1=CC(=CC=C1C(=O)NCC(=O)O)N	4-Aminohippuric acid
CC1=CC(=O)OC2=C1C=CC(=C2C=O)O	14003-96-4
C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N	5-hydroxytryptophan
CC(=O)OCC1=C(N2C(C(C2=O)N)SC1)C(=O)O	7-Aminocephalosporanic acid
C12=NNNC1=NC(=NC2=O)N	8-AZAGUANINE
CC1=CC=C(C=C1)SC2=C3C=C(SC3=CN=C2)C(=O)N	251992-66-2
CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CSC(=N3)C(C)(C)C	1166227-08-2
C1CC(C(C1)C(=O)O)C(=O)C2=CC=C(C=C2)C3=CC=C(C=C3)NC(=O)NC4=CC=CC=C4	959122-11-3
CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CC=C4C5=CN=CC=C5)C)C	Abiraterone acetate
CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO	acarbose
C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O	acarbose
CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C.Cl	Acebutolol hydrochloride
CC(=O)OC1CN2CCC1CC2.Cl	Aceclidine hydrochloride
CC1=CC(=O)[N-]S(=O)(=O)O1.[K+]	Acesulfame potassium
CC(=O)NC1=CC=CC=C1	acetanilide
CC(=O)NC1=C(C=CC(=C1)[As](=O)(O)O)O	acetarsol
CC(=O)OCC[N+](C)(C)C.[Cl-]	ACETYLCHOLINE CHLORIDE
CC(=O)NC(CS)C(=O)O	N-Acetyl-L-cysteine
CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC	Acitretin
C1C[N+]2(CCC1C(C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-]	Aclidinium bromide
C1=NC2=C(N1)C(=NC=N2)N.Cl	Adenine hydrochloride
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O	adenosine
CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2.Cl	Adiphenine hydrochloride
C1CN(CCC1NC(=O)COC2=CC=C(C=C2)C(=O)C3=CC=CC=C3)CC4=CC=CC=C4	AdipoRon
CCN(CC)C(=O)C1=CC=C(C=C1)C2=CC3(CCNCC3)OC4=C2C(=CC=C4)O.Cl	850173-95-4
CNCC(=O)C1=CC(=C(C=C1)O)O.Cl	Adrenalone hydrochloride
C1=CC(=C(C=C1C=C(C#N)C#N)O)O	Tyrphostin 23
C1=CC=C(C=C1)CNC(=O)C(=CC2=CC(=C(C=C2)O)O)C#N	133550-30-8
CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC	albendazole
CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C	alfacalcidol
CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C	alfacalcidol
CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC.Cl	Alfuzosin Hydrochloride
CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N.CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N.C(=CC(=O)O)C(=O)O	Aliskiren hemifumarate
COC1=CC2=NNN=C2C=C1C(=O)NCC3CCCN3CC=C.Cl	Limican
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O	Alizarin
C=CCNC(=S)N	ALLYLTHIOUREA
CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3.C(C(C(=O)O)O)C(=O)O	Almotriptan malate
CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCCC(C3)N	Alogliptin
C1CCN2CC3CC(C2C1)C=C4C3NCCC4	Aloperine
CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O	alprostadil
CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2(CC=C)O	Altrenogest
CCN(CCCC1=CC=CC=C1)CCCC2=CC=CC=C2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O	ALVERINE CITRATE
CN1CCCCC1CN2C=C(C3=CC=CC=C32)C(=O)C4=C(C=CC(=C4)[N+](=O)[O-])I	444912-48-5
CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)I	AM251
C1C2CC3CC1CC(C2)(C3)N.Cl	Amantadine hydrochloride
C1CC(CCC1NCC2=CC(=CC(=C2N)Br)Br)O.Cl	Ambroxol hydrochloride
C1=CC=C(C=C1)C(=O)C2=C(C(=CC=C2)CC(=O)[O-])N.O.[Na+]	61618-27-7
CC(=O)NC1=NC2=C(C=CC=C2S1)OC3=NC=NC(=C3)C4=CC=C(C=C4)C(F)(F)F	AMG-517
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C	aminophenazone
C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.Cl	AMILORIDE HYDROCHLORIDE
CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N	aminophylline
C1=CSC(=N1)N	2-AMINOTHIAZOLE
CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl	Amiodarone hydrochloride
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl	Amitriptyline hydrochloride
CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN	amlodipine
CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C.N	Ammonium glycyrrhizate
CCC(C)(C)C1=CC=C(C=C1)CC(C)CN2CC(OC(C2)C)C.Cl	amorolfine hydrochloride
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C	amoxicillin
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)[O-])C.[Na+]	Amoxicillin sodium
CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O	amphotericin b
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)[O-])C.[Na+]	AMPICILLIN SODIUM
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C.O.O.O	AMPICILLIN TRIHYDRATE
CCOC(=O)OC(C)OC1=C(N(S(=O)(=O)C2=CC=CC=C21)C)C(=O)NC3=CC=CC=N3	ampiroxicam
CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N	amprenavir
CCCC1=NC=C(C(=N1)N)C[N+]2=CC=CC=C2C.Cl.[Cl-]	Amprolium hydrochloride
C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=O)CN31.Cl	ANAGRELIDE HYDROCHLORIDE
CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)O)(C)CO)O	Andrographolide
CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C.[Br-]	ANISOTROPINE METHYLBROMIDE
C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3.Cl	Antazoline hydrochloride
CC1=CC(=O)N(N1C)C2=CC=CC=C2	antipyrine
CN(C)C1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=CC=C4P(=O)(C)C)Cl)OC	AP26113
CC(=O)C1=CC(=C(C=C1)O)OC	Acetovanillone
C1=CC=C2C(=C1)C(=O)C(=O)N2CC3=CC(=C(C=C3)Cl)Cl	Apoptosis Activator 2
CCOC1=C(C=CC(=C1)C(CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC	Apremilast
COC1=CC=C(C=C1)CNC(=O)NC2=NC=C(S2)[N+](=O)[O-]	AR-A014418
CCOC(=O)C1=C(N(C2=CC(=C(C(=C21)CN(C)C)O)Br)C)CSC3=CC=CC=C3.Cl	131707-23-8
C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O	arbutin
CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC)C	Artemether
CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C	artemisinin
CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C	artemisinin
CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C	Artesunate
CCCNC(C)C(=O)NC1=C(SC=C1C)C(=O)OC.Cl	ARTICAINE HYDROCHLORIDE
C1=CC(=C(C=C1F)O)C2=CC=C(O2)C=C3C(=O)NC(=O)S3	AS-252424
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)O	Asiatic acid
CC1(C(CCC23C1C(CC4C2(C3)CCC5(C4(CC(C5C6(CCC(O6)C(C)(C)O)C)O)C)C)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(CO8)O)O)O)C	Astragaloside A
CC1=C(C(=C2C(=C1)C(=C(C(=C2C=O)O)O)C(C)C)O)C3=C(C=C4C(=C3O)C(=C(C(=C4C(C)C)O)O)C=O)C.CC(=O)O	Gossypol acetic acid
CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC.OS(=O)(=O)O	Atazanavir sulfate
CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2.Cl	Atomoxetine hydrochloride
CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.[Ca+2]	ATORVASTATIN CALCIUM
C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O	ATOVAQUONE
CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3	ATROPINE
COC1=C(C=C(C=C1)CNC2=NC(=NC=C2C(=O)NCC3=NC=CC=N3)N4CCCC4CO)Cl	Avanafil
COCCOC1=CC=C(C=C1)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)NC(=O)C=C)F	AVL-292
CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=CC(=N3)C4=CN(C5=C4C=CN=C5)C)OC	AZ191
CC1COCCN1C2=NC(=NC(=C2)C3(CC3)S(=O)(=O)C)C4=C5C=CNC5=CC=C4	AZ20
C1CNCCC1C(C2=CC=CC=C2)(C3=CC=CC=C3)O	Azacyclonol
C1CN(CCN1CCCC(=O)C2=CC=C(C=C2)F)C3=CC=CC=N3	Azaperone
CN1CCC(=C2C3=CC=CC=C3CCC4=C2N=CC=C4)CC1.C(=CC(=O)O)C(=O)O.C(=CC(=O)O)C(=O)O	Azatadine maleate
C1COCCN1CC2=CNC(=C3C4=C(C=CC(=C4)C#N)NC3=O)C=C2	AZD1080
CC1=C(C2=C(N1CC(=O)O)C=CC=C2NC(=O)C)SC3=CC=C(C=C3)Cl	AZD1981
CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NC)N5CCOCC5C	AZD2014
COC1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=CC=CC=C43)F	AZD2461
CN1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C3=CN=C(C(=N3)C(=O)NC4=CN=CC=C4)N	AZD2858
COC1=C(C=CC(=C1)N2CCC(CC2)N)NC3=NC=C(C(=N3)C4=CNC5=CC=CC=C54)Cl	AZD3463
CC(=O)N1CCN(CC1)CCOC2=CC=C(C=C2)C3CCN(CC3)C4=NN5C(=NN=C5C(F)(F)F)CC4	AZD3514
CC1=CC(=C(N(C1=O)C)NC2=C(C=C(C=C2)I)F)C(=O)NOCCO	AZD8330
CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl.Cl	AZELASTINE HYDROCHLORIDE
CC1=C(C(C(=C(N1)N)C(=O)OC2CN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC(C)C	Azelnidipine
CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NC(=O)ON5)C(=O)O	Azilsartan
CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NC(=O)ON5)C(=O)OCC6=C(OC(=O)O6)C	AZILSARTAN MEDOXOMIL
CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O	azithromycin
